export_date,id,risky_from,risky_until,message_type
1608251879,RJ2JV96R,1607817600,1607903940,M1
1608251879,5694WV3R,1607731200,1607817599,M1
1608251879,5VVKPYP5,1607731200,1607817599,M1
1608251879,R9P3PJX5,1607731200,1607817599,M1
1608251879,5Y468K8R,1607644800,1607731199,M1
1608251879,5Y6J8W8R,1607644800,1607731199,M1
1608251879,5YKJW285,1607644800,1607731199,M1
1608251879,5238P4YR,1607644800,1607731140,M1
1608251879,53V9WXWR,1607644800,1607731140,M1
1608251879,5MWVK3WY,1607644800,1607731140,M1
1608251879,5V6Y6XP5,1607644800,1607731140,M1
1608251879,RJKJW4V5,1607644800,1607731140,M1
1608338283,5VXY66Y5,1607990400,1608076740,M1
1608338283,5M86KJVR,1607904000,1607990340,M1
1608338283,5M8X26WR,1607817600,1607903999,M1
1608338283,R8664P8R,1607817600,1607903999,M1
1608338283,RKYM9V8R,1607731200,1607817599,M1
1608338283,52JPVY45,1607644800,1607731199,M1
1608338283,5346XPWR,1607644800,1607731199,M1
1608338283,5W8YV8WR,1607644800,1607731199,M1
1608338283,RP883M2R,1607644800,1607731199,M1
1608338283,528XWV45,1607644800,1607731140,M1
1608424862,RP99JY4V,1607990400,1608076799,M1
1608424862,52VJ6V45,1607817600,1607903999,M1
1608424862,5W46VVPR,1607817600,1607903999,M1
1608424862,5Y8XW6YR,1607817600,1607903999,M1
1608424862,R9J93VWY,1607817600,1607903999,M1
1608424862,RJKKJK65,1607817600,1607903999,M1
1608424862,53W3XP82,1607731200,1607817599,M1
1608424862,R86J882R,1607731200,1607817599,M1
1608424862,R93PY22R,1607731200,1607817599,M1
1608424862,RJP628MR,1607731200,1607817599,M1
1608424862,V54J3YX5,1607731200,1607817599,M1
1608597721,X5YVY3MR,1608249600,1608335999,M1
1608597721,542M2Y45,1608163200,1608249599,M1
1608597721,5X88K9W5,1608163200,1608249540,M1
1608597721,5YWVYYM5,1608076800,1608163199,M1
1608597721,R8V6MK2M,1608076800,1608163199,M1
1608597721,RPY49J65,1608076800,1608163140,M1
1608597721,533PVP45,1607990400,1608076799,M1
1608597721,5M6XV2VR,1607990400,1608076799,M1
1608597721,5WV3K34V,1607990400,1608076799,M1
1608597721,5YKJW285,1607990400,1608076799,M1
1608597721,548VPPM5,1607990400,1608076740,M1
1608597721,5VXXYYK3,1607990400,1608076740,M1
1608597721,5Y9PY6VM,1607990400,1608076740,M1
1608597721,5YP4PJYR,1607990400,1608076740,M1
1608597721,R992PXXR,1607990400,1608076740,M1
1608597721,R9J4XK65,1607990400,1608076740,M1
1608597721,RJ6P346R,1607990400,1608076740,M1
1608597721,RK894W65,1607990400,1608076740,M1
1608597721,RKYJPV42,1607990400,1608076740,M1
1608597721,5WVMKMVR,1607904000,1607990399,M1
1608597721,5XKWYKKR,1607904000,1607990399,M1
1608597721,5Y9PY648,1607904000,1607990399,M1
1608597721,P56PJX52,1607904000,1607990399,M1
1608597721,RJKW8MV5,1607904000,1607990399,M1
1608597721,562PKPJ5,1607904000,1607990340,M1
1608597721,5WY4JKW5,1607904000,1607990340,M1
1608597721,5WYYWY85,1607904000,1607990340,M1
1608597721,5Y6J48MR,1607904000,1607990340,M1
1608597721,5YV43X9R,1607904000,1607990340,M1
1608684456,RK626635,1608336000,1608422399,M1
1608684456,R9M3YK9R,1608249600,1608335999,M1
1608684456,V542WM35,1608249600,1608335999,M1
1608684456,52WY4XXR,1608249600,1608335940,M1
1608684456,RKYV36MR,1608249600,1608335940,M1
1608684456,5WVVJ6PP,1608163200,1608249599,M1
1608684456,R8V4Y8JV,1608163200,1608249599,M1
1608684456,52W9MMYR,1608163200,1608249540,M1
1608684456,R8V39W8R,1608163200,1608249540,M1
1608684456,5346XPWR,1607990400,1608076799,M1
1608684456,5VKJMX3R,1607990400,1608076799,M1
1608684456,5WPJM9XR,1607990400,1608076799,M1
1608684456,5XXVP935,1607990400,1608076799,M1
1608684456,RJV2YV22,1607990400,1608076799,M1
1608684456,52W662VX,1607990400,1608076740,M1
1608770890,5WXY3VWR,1608336000,1608422399,M1
1608770890,R9YP836R,1608336000,1608422399,M1
1608770890,5YX9XWWR,1608249600,1608335999,M1
1608770890,R99PJ9PR,1608249600,1608335940,M1
1608770890,52J4VW45,1608163200,1608249599,M1
1608770890,5VK22M3R,1608163200,1608249599,M1
1608770890,5X849KJ5,1608163200,1608249599,M1
1608770890,R8PMV49R,1608163200,1608249540,M1
1608770890,56863VM5,1608076800,1608163199,M1
1608770890,R8PVYJVR,1608076800,1608163140,M1
1608857059,533YKYV5,1608508800,1608595199,M1
1608857059,5X83X685,1608422400,1608508799,M1
1608857059,53383MY5,1608422400,1608508740,M1
1608857059,5X83P8K5,1608336000,1608422399,M1
1608857059,RJV29MMR,1608336000,1608422399,M1
1608857059,53KX3M25,1608249600,1608335999,M1
1608857059,53XMYV2R,1608249600,1608335999,M1
1608857059,5WXMJKWR,1608249600,1608335999,M1
1608857059,M533K6V5,1608249600,1608335999,M1
1608857059,RJJ82MVR,1608249600,1608335999,M1
1608857059,52W9989R,1608249600,1608335940,M1
1608857059,53WV62W6,1608249600,1608335940,M1
1608857059,5WJYWJPR,1608249600,1608335940,M1
1608857059,5WY9MKM5,1608249600,1608335940,M1
1608857059,RJ64J9MR,1608163200,1608249599,M1
1609289271,5WY3MPP5,1608854400,1608940799,M1
1609289271,RP429P6R,1608854400,1608940799,M1
1609289271,RP982295,1608854400,1608940799,M1
1609289271,52662695,1608768000,1608854399,M1
1609289271,562KJ4J5,1608768000,1608854399,M1
1609289271,R99JX86R,1608768000,1608854399,M1
1609289271,RJ2XY29R,1608768000,1608854399,M1
1609289271,R9J984YY,1608681600,1608767999,M1
1609289271,RK8MV4K5,1608681600,1608767999,M1
1609289271,RKYW466R,1608681600,1608767999,M1
1609289271,562V2X45,1608595200,1608681599,M1
1609289271,568P4YM5,1608595200,1608681599,M1
1609289271,5M43V4KR,1608595200,1608681599,M1
1609289271,RJJ4YXWR,1608595200,1608681599,M1
1609289271,RPMMM995,1608595200,1608681599,M1
1609289271,5YV82P9R,1608422460,1608940740,M1
1609375806,53W42KW6,1608854400,1608940799,M1
1609375806,RJPXYX2R,1608854400,1608940740,M1
1609375806,52W3V8YR,1608768000,1608854399,M1
1609375806,56K944XR,1608768000,1608854399,M1
1609375806,5VP22K85,1608768000,1608854399,M1
1609375806,54298W35,1608768000,1608854340,M1
1609375806,5V9YK99R,1608768000,1608854340,M1
1609375806,5VY8499R,1608768000,1608854340,M1
1609375806,5Y8XV89R,1608768000,1608854340,M1
1609375806,RJM9K8W5,1608768000,1608854340,M1
1609375806,RP2PMYXR,1608768000,1608854340,M1
1609375806,X5Y4YP9R,1608768000,1608854340,M1
1609375806,53WXMX25,1608681600,1608767940,M1
1609375806,5X22W99Y,1608681600,1608767940,M1
1609375806,5X8223J5,1608681600,1608767940,M1
1609375806,RJ2PV4MR,1608681600,1608767940,M1
1609462241,R99JMJXR,1609027200,1609113599,M1
1609462241,5X3KXVYR,1608940800,1609027199,M1
1609462241,R8VK9X9R,1608940800,1609027199,M1
1609462241,5Y6XXVWR,1608854400,1608940799,M1
1609462241,RKMYVK8R,1608854400,1608940799,M1
1609462241,52WX9WPK,1608768000,1608854399,M1
1609462241,X5X8MW35,1608768000,1608854399,M1
1609462241,5M444KYR,1608768000,1608854340,M1
1609462241,5Y9KK3M5,1608768000,1608854340,M1
1609807902,542V2343,1609286400,1609372799,M1
1609807902,5WP2KWJR,1609286400,1609372799,M1
